CN1015464B  |||  S: 1 E: 11  |||  NN
EPRMB  |||  S: 467 E: 472  |||  NN
29  |||  S: 472 E: 474  |||  CD
C43/3220060101ALI  |||  S: 474 E: 491  |||  NN
20060310  |||  S: 491 E: 499  |||  CD
RMJP  |||  S: 499 E: 503  |||  NN
20060101AB29C4332LI20060310  |||  S: 503 E: 530  |||  CD
JPRMB  |||  S: 530 E: 535  |||  NN
29  |||  S: 535 E: 537  |||  CD
K105  |||  S: 537 E: 541  |||  NN
/  |||  S: 541 E: 542  |||  PU
0620060101ALN20060310RMJP20060101AB29K10506LN20060310  |||  S: 542 E: 595  |||  CD
JPRMB  |||  S: 595 E: 600  |||  NN
30  |||  S: 600 E: 602  |||  CD
B11/0020060101ALI  |||  S: 602 E: 619  |||  NN
20060310  |||  S: 619 E: 627  |||  CD
RMJP  |||  S: 627 E: 631  |||  NN
20060101AB30B1100LI20060310  |||  S: 631 E: 658  |||  CD
JPRMC  |||  S: 658 E: 663  |||  NN
08  |||  S: 663 E: 665  |||  CD
K3/0820060101AI  |||  S: 665 E: 680  |||  NN
20051008  |||  S: 680 E: 688  |||  CD
RMEP  |||  S: 688 E: 692  |||  NN
20060101AC08K308I20051008  |||  S: 692 E: 717  |||  CD
EPRMB  |||  S: 717 E: 722  |||  NN
30  |||  S: 722 E: 724  |||  CD
B11/00BB  |||  S: 724 E: 732  |||  NN
30B1100BB29  |||  S: 732 E: 743  |||  CD
C43/10B29C4310C08K3  |||  S: 743 E: 762  |||  NN
/  |||  S: 762 E: 763  |||  PU
08  |||  S: 763 E: 765  |||  CD
+  |||  S: 765 E: 766  |||  CC
L83  |||  S: 766 E: 769  |||  CD
/  |||  S: 769 E: 770  |||  PU
04C08K308  |||  S: 770 E: 779  |||  CD
+  |||  S: 779 E: 780  |||  CC
L83  |||  S: 780 E: 783  |||  CD
/  |||  S: 783 E: 784  |||  PU
04  |||  S: 784 E: 786  |||  CD
L29C43:00CL29C4300C4  |||  S: 786 E: 806  |||  NN
含  |||  S: 806 E: 807  |||  VV
金属  |||  S: 807 E: 809  |||  NN
添加剂  |||  S: 809 E: 812  |||  NN
的  |||  S: 812 E: 813  |||  DEC
固体  |||  S: 813 E: 815  |||  NN
可  |||  S: 815 E: 816  |||  VV
流动  |||  S: 816 E: 818  |||  VV
聚合物  |||  S: 818 E: 821  |||  NN
S  |||  S: 821 E: 822  |||  OD
OILDFLOWABLEPOLYMERMEDIUMWITHMETALADDITIVES  |||  S: 822 E: 865  |||  PU
联合  |||  S: 865 E: 867  |||  NN
工艺  |||  S: 867 E: 869  |||  NN
公司  |||  S: 869 E: 871  |||  NN
美国  |||  S: 871 E: 873  |||  NR
康涅  |||  S: 873 E: 875  |||  NN
狄格州  |||  S: 875 E: 878  |||  NN
UNITEDTECHNOLOGIESCORP  |||  S: 878 E: 900  |||  NN
.  |||  S: 900 E: 901  |||  PU
US  |||  S: 901 E: 903  |||  NN
联合  |||  S: 903 E: 905  |||  NN
工艺  |||  S: 905 E: 907  |||  NN
公司  |||  S: 907 E: 909  |||  NN
美国  |||  S: 909 E: 911  |||  NR
康涅狄  |||  S: 911 E: 914  |||  NN
格州UNITEDTECHNOLOGIESCORPUSUNITEDTECHNOLOGIESCORP.  |||  S: 914 E: 963  |||  PU
US  |||  S: 963 E: 965  |||  NN
罗伯  |||  S: 965 E: 967  |||  NN
特  |||  S: 967 E: 968  |||  NN
·  |||  S: 968 E: 969  |||  PU
V  |||  S: 969 E: 970  |||  NN
·  |||  S: 970 E: 971  |||  PU
克  |||  S: 971 E: 972  |||  NN
罗雷  |||  S: 972 E: 974  |||  NN
ROBERTV  |||  S: 974 E: 981  |||  NN
.  |||  S: 981 E: 982  |||  PU
KROMREYUS  |||  S: 982 E: 991  |||  NN
罗伯  |||  S: 991 E: 993  |||  NN
特  |||  S: 993 E: 994  |||  NN
·  |||  S: 994 E: 995  |||  PU
V  |||  S: 995 E: 996  |||  NN
·  |||  S: 996 E: 997  |||  PU
克  |||  S: 997 E: 998  |||  NN
罗雷  |||  S: 998 E: 1000  |||  NN
KROMREYROBERTVUSROBERTV  |||  S: 1000 E: 1023  |||  NR
.  |||  S: 1023 E: 1024  |||  PU
KROMREYUS  |||  S: 1024 E: 1033  |||  NR
中国  |||  S: 1033 E: 1035  |||  NR
专利  |||  S: 1035 E: 1037  |||  NN
代理  |||  S: 1037 E: 1039  |||  NN
有  |||  S: 1039 E: 1040  |||  VE
限公司  |||  S: 1040 E: 1043  |||  NN
(  |||  S: 1043 E: 1044  |||  PU
杨厚昌  |||  S: 1044 E: 1047  |||  NN
)  |||  S: 1047 E: 1048  |||  PU
中国  |||  S: 1048 E: 1050  |||  NR
专利  |||  S: 1050 E: 1052  |||  NN
代理  |||  S: 1052 E: 1054  |||  NN
有  |||  S: 1054 E: 1055  |||  VE
限公司  |||  S: 1055 E: 1058  |||  NN
(  |||  S: 1058 E: 1059  |||  PU
杨厚昌  |||  S: 1059 E: 1062  |||  NN
)  |||  S: 1062 E: 1063  |||  PU
JP63071307A1988033119870908CN87106782A1988051119870908US4755343A1988070519860910CA1318435C1993052519870909KR19950012393B11995101719870908CN89107218B1992110419870908JP2529580B21996082819870908DE260215T11988072119870901DE3785810D11993061719870901DE3785810T21993090219870901US4772521A1988092019871209CN1015464B1992021219890912CN1042169A1990051619890912CN87106782B1991081419870908EP260215B11993051219870901EP260215A31990071119870901EP260215A21988031619870901CN1010567B1990112819870908KR9512393B11995101719870908IL83829D01988022919870908IL83829A1991071819870908US4772521A1988092019871209DE3785810T21993090219870901JP63071307A1988033119870908CN87106782A1988051119870908KR19950012393B11995101719870908IL83829D01988022919870908US4755343A1988070519860910CA1318435C1993052519870909CN1010567B1990112819870908CN1015464B1992021219890912CN1042169A1990051619890912IL83829A1991071819870908CN87106782B1991081419870908CN89107218B1992110419870908EP260215B11993051219870901EP260215A31990071119870901EP260215A21988031619870901JP2529580B21996082819870908DE260215T11988072119870901DE3785810D11993061719870901KR9512393B11995101719870908一  |||  S: 1063 E: 2176  |||  CD
种  |||  S: 2176 E: 2177  |||  M
导热性  |||  S: 2177 E: 2180  |||  NN
可  |||  S: 2180 E: 2181  |||  VV
流动  |||  S: 2181 E: 2183  |||  VV
颗粒  |||  S: 2183 E: 2185  |||  NN
状  |||  S: 2185 E: 2186  |||  NN
聚合物  |||  S: 2186 E: 2189  |||  NN
一  |||  S: 2189 E: 2190  |||  CD
金属  |||  S: 2190 E: 2192  |||  NN
混合物  |||  S: 2192 E: 2195  |||  NN
，  |||  S: 2195 E: 2196  |||  PU
特别  |||  S: 2196 E: 2198  |||  AD
适用  |||  S: 2198 E: 2200  |||  VV
作为  |||  S: 2200 E: 2202  |||  P
在  |||  S: 2202 E: 2203  |||  P
一  |||  S: 2203 E: 2204  |||  CD
种  |||  S: 2204 E: 2205  |||  M
高压  |||  S: 2205 E: 2207  |||  NN
、  |||  S: 2207 E: 2208  |||  PU
高温  |||  S: 2208 E: 2210  |||  NN
模塑  |||  S: 2210 E: 2212  |||  NN
方法  |||  S: 2212 E: 2214  |||  NN
中  |||  S: 2214 E: 2215  |||  LC
的  |||  S: 2215 E: 2216  |||  DEG
加压  |||  S: 2216 E: 2218  |||  NN
介质  |||  S: 2218 E: 2220  |||  NN
。  |||  S: 2220 E: 2221  |||  PU
该  |||  S: 2221 E: 2222  |||  DT
材料  |||  S: 2222 E: 2224  |||  NN
包含  |||  S: 2224 E: 2226  |||  VV
20  |||  S: 2226 E: 2228  |||  CD
～  |||  S: 2228 E: 2229  |||  PU
90%  |||  S: 2229 E: 2232  |||  CD
固体  |||  S: 2232 E: 2234  |||  NN
可  |||  S: 2234 E: 2235  |||  VV
流动  |||  S: 2235 E: 2237  |||  VV
的  |||  S: 2237 E: 2238  |||  DEC
颗粒  |||  S: 2238 E: 2240  |||  NN
状硅  |||  S: 2240 E: 2242  |||  NN
橡胶  |||  S: 2242 E: 2244  |||  NN
，  |||  S: 2244 E: 2245  |||  PU
它  |||  S: 2245 E: 2246  |||  PN
在  |||  S: 2246 E: 2247  |||  P
室温  |||  S: 2247 E: 2249  |||  NN
和  |||  S: 2249 E: 2250  |||  CC
施加  |||  S: 2250 E: 2252  |||  VV
10  |||  S: 2252 E: 2254  |||  CD
.  |||  S: 2254 E: 2255  |||  PU
34  |||  S: 2255 E: 2257  |||  CD
MPa  |||  S: 2257 E: 2260  |||  NR
压力  |||  S: 2260 E: 2262  |||  NN
作用  |||  S: 2262 E: 2264  |||  NN
下  |||  S: 2264 E: 2265  |||  LC
，  |||  S: 2265 E: 2266  |||  PU
通过  |||  S: 2266 E: 2268  |||  P
一  |||  S: 2268 E: 2269  |||  CD
根  |||  S: 2269 E: 2270  |||  M
直径  |||  S: 2270 E: 2272  |||  NN
1  |||  S: 2272 E: 2273  |||  CD
.  |||  S: 2273 E: 2274  |||  PU
1  |||  S: 2274 E: 2275  |||  CD
cm  |||  S: 2275 E: 2277  |||  M
，  |||  S: 2277 E: 2278  |||  PU
长  |||  S: 2278 E: 2279  |||  NN
为  |||  S: 2279 E: 2280  |||  VC
7  |||  S: 2280 E: 2281  |||  CD
.  |||  S: 2281 E: 2282  |||  PU
6  |||  S: 2282 E: 2283  |||  CD
cm  |||  S: 2283 E: 2285  |||  M
的  |||  S: 2285 E: 2286  |||  DEC
管子  |||  S: 2286 E: 2288  |||  NN
时  |||  S: 2288 E: 2289  |||  LC
的  |||  S: 2289 E: 2290  |||  DEG
标称  |||  S: 2290 E: 2292  |||  NN
流  |||  S: 2292 E: 2293  |||  VV
速  |||  S: 2293 E: 2294  |||  AD
至少  |||  S: 2294 E: 2296  |||  AD
为  |||  S: 2296 E: 2297  |||  VC
0  |||  S: 2297 E: 2298  |||  CD
.  |||  S: 2298 E: 2299  |||  PU
6  |||  S: 2299 E: 2300  |||  CD
g  |||  S: 2300 E: 2301  |||  M
/  |||  S: 2301 E: 2302  |||  PU
s  |||  S: 2302 E: 2303  |||  NN
。  |||  S: 2303 E: 2304  |||  PU
该  |||  S: 2304 E: 2305  |||  DT
材料  |||  S: 2305 E: 2307  |||  NN
还  |||  S: 2307 E: 2308  |||  AD
包含  |||  S: 2308 E: 2310  |||  VV
10  |||  S: 2310 E: 2312  |||  CD
～  |||  S: 2312 E: 2313  |||  PU
80%  |||  S: 2313 E: 2316  |||  CD
导热  |||  S: 2316 E: 2318  |||  VV
金属  |||  S: 2318 E: 2320  |||  NN
颗粒  |||  S: 2320 E: 2322  |||  NN
，  |||  S: 2322 E: 2323  |||  PU
其  |||  S: 2323 E: 2324  |||  PN
烷点  |||  S: 2324 E: 2326  |||  NN
低于  |||  S: 2326 E: 2328  |||  VV
模塑  |||  S: 2328 E: 2330  |||  NN
温度  |||  S: 2330 E: 2332  |||  NN
，  |||  S: 2332 E: 2333  |||  PU
并  |||  S: 2333 E: 2334  |||  CC
与  |||  S: 2334 E: 2335  |||  P
上述  |||  S: 2335 E: 2337  |||  JJ
的  |||  S: 2337 E: 2338  |||  DEG
硅橡胶  |||  S: 2338 E: 2341  |||  NN
在  |||  S: 2341 E: 2342  |||  P
化学  |||  S: 2342 E: 2344  |||  NN
性质  |||  S: 2344 E: 2346  |||  NN
上  |||  S: 2346 E: 2347  |||  LC
基本上  |||  S: 2347 E: 2350  |||  AD
是  |||  S: 2350 E: 2351  |||  VC
相容  |||  S: 2351 E: 2353  |||  VV
的  |||  S: 2353 E: 2354  |||  DEC
。  |||  S: 2354 E: 2355  |||  PU
Aflowableparticulatepolymer  |||  S: 2355 E: 2382  |||  NN
-  |||  S: 2382 E: 2383  |||  PU
metalmixturethatisthermallyconductiveandisparticularlyadaptedforuseasapressurizingmediuminahighpressureelevatedtemperaturemoldingprocess  |||  S: 2383 E: 2519  |||  NN
.  |||  S: 2519 E: 2520  |||  PU
Thematerialcomprisesasubstantiallyuniformmixtureofabout  |||  S: 2520 E: 2575  |||  NN
20%  |||  S: 2575 E: 2578  |||  CD
toabout  |||  S: 2578 E: 2585  |||  NN
90%  |||  S: 2585 E: 2588  |||  CD
solidflowable  |||  S: 2588 E: 2601  |||  NN
,  |||  S: 2601 E: 2602  |||  PU
particulatesiliconerubberhavinganominalflowrateofatleast0  |||  S: 2602 E: 2659  |||  NN
.  |||  S: 2659 E: 2660  |||  PU
6  |||  S: 2660 E: 2661  |||  CD
gram  |||  S: 2661 E: 2665  |||  M
/  |||  S: 2665 E: 2666  |||  PU
secondthrougha  |||  S: 2666 E: 2680  |||  NN
1.1  |||  S: 2680 E: 2683  |||  CD
cmdiameterpipe  |||  S: 2683 E: 2697  |||  NN
7  |||  S: 2697 E: 2698  |||  CD
.  |||  S: 2698 E: 2699  |||  PU
6  |||  S: 2699 E: 2700  |||  CD
cmlongunderappliedpressureof  |||  S: 2700 E: 2728  |||  NN
10  |||  S: 2728 E: 2730  |||  CD
.  |||  S: 2730 E: 2731  |||  PU
34MPaatroomtemperature.Thematerialalsocomprisesabout10%toabout80%thermallyconductiveparticulatemetalthathasameltingpointlessthanthemoldingtemperatureandissubstantiallychemicallycompatiblewithsaidsiliconerubber.Thepressurizingmediumisusedtomoldarticleprecursorsintoarticlesbyplacinganarticleprecursorwithinapressurevesselandsubstantiallyfillingthevesselwithapressurizingmixture.Themixtureisexposedtoatemperatureequaltoorgreaterthanthemetalmeltingpointandiscausedtoproduceasubstantiallyuniformpredeterminedmediumpressureonthesurfaceofthearticleprecursortomoldthearticle.Themoltenmetaltransfersheattothearticleprecursoryetsinceitismoltenthepolymer-metalmixtureisflowable.  |||  S: 2731 E: 3399  |||  PU
19900516C06  |||  S: 3399 E: 3410  |||  NN
+  |||  S: 3410 E: 3411  |||  CC
PUBLICATIONNCN1015464B19920212C13DECISIONNCN1015464B19921104C14  |||  S: 3411 E: 3474  |||  NN
+  |||  S: 3474 E: 3475  |||  PU
G  |||  S: 3475 E: 3476  |||  CD
RANTEDNCN1015464B20001108C19-LAPSEOFPATENTRIGHTDUETONON-PAYMENTOFTHEANNUALFEENCN1015464B  |||  S: 3476 E: 3564  |||  PU
本  |||  S: 3564 E: 3565  |||  DT
发明  |||  S: 3565 E: 3567  |||  NN
涉及  |||  S: 3567 E: 3569  |||  VV
模塑  |||  S: 3569 E: 3571  |||  NN
组合物  |||  S: 3571 E: 3574  |||  NN
，  |||  S: 3574 E: 3575  |||  PU
特别  |||  S: 3575 E: 3577  |||  AD
是  |||  S: 3577 E: 3578  |||  VC
一  |||  S: 3578 E: 3579  |||  CD
种  |||  S: 3579 E: 3580  |||  M
能  |||  S: 3580 E: 3581  |||  VV
在  |||  S: 3581 E: 3582  |||  P
加压  |||  S: 3582 E: 3584  |||  NN
条件  |||  S: 3584 E: 3586  |||  NN
下  |||  S: 3586 E: 3587  |||  LC
用于  |||  S: 3587 E: 3589  |||  VV
模塑  |||  S: 3589 E: 3591  |||  NN
制品  |||  S: 3591 E: 3593  |||  NN
的  |||  S: 3593 E: 3594  |||  DEG
组合物  |||  S: 3594 E: 3597  |||  NN
。  |||  S: 3597 E: 3598  |||  PU
复合  |||  S: 3598 E: 3600  |||  JJ
材料  |||  S: 3600 E: 3602  |||  NN
目前  |||  S: 3602 E: 3604  |||  NT
受到  |||  S: 3604 E: 3606  |||  VV
极  |||  S: 3606 E: 3607  |||  AD
大  |||  S: 3607 E: 3608  |||  JJ
关注  |||  S: 3608 E: 3610  |||  NN
，  |||  S: 3610 E: 3611  |||  PU
因为  |||  S: 3611 E: 3613  |||  P
它们  |||  S: 3613 E: 3615  |||  PN
可  |||  S: 3615 E: 3616  |||  VV
提供  |||  S: 3616 E: 3618  |||  VV
高  |||  S: 3618 E: 3619  |||  JJ
强度  |||  S: 3619 E: 3621  |||  NN
与  |||  S: 3621 E: 3622  |||  P
低  |||  S: 3622 E: 3623  |||  JJ
密度  |||  S: 3623 E: 3625  |||  NN
十分  |||  S: 3625 E: 3627  |||  AD
良好  |||  S: 3627 E: 3629  |||  VA
的  |||  S: 3629 E: 3630  |||  DEC
结合  |||  S: 3630 E: 3632  |||  NN
。  |||  S: 3632 E: 3633  |||  PU
通常  |||  S: 3633 E: 3635  |||  AD
，  |||  S: 3635 E: 3636  |||  PU
复合  |||  S: 3636 E: 3638  |||  JJ
材料  |||  S: 3638 E: 3640  |||  NN
是  |||  S: 3640 E: 3641  |||  VC
由  |||  S: 3641 E: 3642  |||  P
碳纤维  |||  S: 3642 E: 3645  |||  NN
、  |||  S: 3645 E: 3646  |||  PU
硼  |||  S: 3646 E: 3647  |||  NN
纤维  |||  S: 3647 E: 3649  |||  NN
、  |||  S: 3649 E: 3650  |||  PU
玻璃  |||  S: 3650 E: 3652  |||  NN
纤维  |||  S: 3652 E: 3654  |||  NN
等  |||  S: 3654 E: 3655  |||  ETC
嵌埋  |||  S: 3655 E: 3657  |||  VV
在  |||  S: 3657 E: 3658  |||  P
环氧  |||  S: 3658 E: 3660  |||  NN
、  |||  S: 3660 E: 3661  |||  PU
酚醛  |||  S: 3661 E: 3663  |||  NN
或  |||  S: 3663 E: 3664  |||  CC
其它  |||  S: 3664 E: 3666  |||  DT
聚合物  |||  S: 3666 E: 3669  |||  NN
树脂  |||  S: 3669 E: 3671  |||  NN
基体  |||  S: 3671 E: 3673  |||  NN
中  |||  S: 3673 E: 3674  |||  LC
而  |||  S: 3674 E: 3675  |||  MSP
组成  |||  S: 3675 E: 3677  |||  VV
。  |||  S: 3677 E: 3678  |||  PU
更  |||  S: 3678 E: 3679  |||  AD
高  |||  S: 3679 E: 3680  |||  VA
性能  |||  S: 3680 E: 3682  |||  NN
的  |||  S: 3682 E: 3683  |||  DEC
复合  |||  S: 3683 E: 3685  |||  JJ
材料  |||  S: 3685 E: 3687  |||  NN
有着  |||  S: 3687 E: 3689  |||  P
特别  |||  S: 3689 E: 3691  |||  AD
高  |||  S: 3691 E: 3692  |||  VA
的  |||  S: 3692 E: 3693  |||  DEC
比强度  |||  S: 3693 E: 3696  |||  NN
（  |||  S: 3696 E: 3697  |||  PU
强度  |||  S: 3697 E: 3699  |||  NN
与  |||  S: 3699 E: 3700  |||  CC
密度  |||  S: 3700 E: 3702  |||  NN
之  |||  S: 3702 E: 3703  |||  DEC
比  |||  S: 3703 E: 3704  |||  NN
）  |||  S: 3704 E: 3705  |||  PU
性能  |||  S: 3705 E: 3707  |||  NN
，  |||  S: 3707 E: 3708  |||  PU
对  |||  S: 3708 E: 3709  |||  P
航天  |||  S: 3709 E: 3711  |||  NN
应用  |||  S: 3711 E: 3713  |||  NN
特别  |||  S: 3713 E: 3715  |||  AD
有  |||  S: 3715 E: 3716  |||  VE
吸引力  |||  S: 3716 E: 3719  |||  NN
。  |||  S: 3719 E: 3720  |||  PU
但  |||  S: 3720 E: 3721  |||  AD
是  |||  S: 3721 E: 3722  |||  VC
其它  |||  S: 3722 E: 3724  |||  DT
典型  |||  S: 3724 E: 3726  |||  NN
的  |||  S: 3726 E: 3727  |||  DEC
高性  |||  S: 3727 E: 3729  |||  JJ
能航天  |||  S: 3729 E: 3732  |||  NN
材料  |||  S: 3732 E: 3734  |||  NN
都  |||  S: 3734 E: 3735  |||  AD
存在  |||  S: 3735 E: 3737  |||  VV
着  |||  S: 3737 E: 3738  |||  AS
一定  |||  S: 3738 E: 3740  |||  JJ
的  |||  S: 3740 E: 3741  |||  DEG
加工  |||  S: 3741 E: 3743  |||  NN
困难性  |||  S: 3743 E: 3746  |||  NN
;  |||  S: 3746 E: 3747  |||  PU
它们  |||  S: 3747 E: 3749  |||  PN
不  |||  S: 3749 E: 3750  |||  AD
能  |||  S: 3750 E: 3751  |||  VV
仅  |||  S: 3751 E: 3752  |||  AD
靠  |||  S: 3752 E: 3753  |||  P
简单  |||  S: 3753 E: 3755  |||  VA
地  |||  S: 3755 E: 3756  |||  DEV
把  |||  S: 3756 E: 3757  |||  BA
纤维  |||  S: 3757 E: 3759  |||  NN
和  |||  S: 3759 E: 3760  |||  CC
树脂  |||  S: 3760 E: 3762  |||  NN
铺叠  |||  S: 3762 E: 3764  |||  VV
起来  |||  S: 3764 E: 3766  |||  VV
，  |||  S: 3766 E: 3767  |||  PU
通过  |||  S: 3767 E: 3769  |||  P
室温  |||  S: 3769 E: 3771  |||  NN
固  |||  S: 3771 E: 3772  |||  AD
化  |||  S: 3772 E: 3773  |||  NOI
来  |||  S: 3773 E: 3774  |||  MSP
制得  |||  S: 3774 E: 3776  |||  VV
制品  |||  S: 3776 E: 3778  |||  NN
。  |||  S: 3778 E: 3779  |||  PU
航天  |||  S: 3779 E: 3781  |||  NT
复合  |||  S: 3781 E: 3783  |||  JJ
材料  |||  S: 3783 E: 3785  |||  NN
不  |||  S: 3785 E: 3786  |||  AD
仅  |||  S: 3786 E: 3787  |||  AD
包含  |||  S: 3787 E: 3789  |||  VV
有  |||  S: 3789 E: 3790  |||  VE
难  |||  S: 3790 E: 3791  |||  AD
以  |||  S: 3791 E: 3792  |||  P
成型  |||  S: 3792 E: 3794  |||  VV
加工  |||  S: 3794 E: 3796  |||  VV
的  |||  S: 3796 E: 3797  |||  DEC
树脂  |||  S: 3797 E: 3799  |||  NN
，  |||  S: 3799 E: 3800  |||  PU
而且  |||  S: 3800 E: 3802  |||  CC
经常  |||  S: 3802 E: 3804  |||  AD
要求  |||  S: 3804 E: 3806  |||  VV
必须  |||  S: 3806 E: 3808  |||  VV
制得  |||  S: 3808 E: 3810  |||  VV
基本上  |||  S: 3810 E: 3813  |||  AD
无  |||  S: 3813 E: 3814  |||  VE
缺陷  |||  S: 3814 E: 3816  |||  NN
的  |||  S: 3816 E: 3817  |||  DEC
制品  |||  S: 3817 E: 3819  |||  NN
。  |||  S: 3819 E: 3820  |||  PU
因此  |||  S: 3820 E: 3822  |||  AD
，  |||  S: 3822 E: 3823  |||  PU
航天  |||  S: 3823 E: 3825  |||  NT
复合  |||  S: 3825 E: 3827  |||  JJ
材料  |||  S: 3827 E: 3829  |||  NN
通常  |||  S: 3829 E: 3831  |||  AD
是  |||  S: 3831 E: 3832  |||  VC
在  |||  S: 3832 E: 3833  |||  P
实际  |||  S: 3833 E: 3835  |||  JJ
加压  |||  S: 3835 E: 3837  |||  NN
的  |||  S: 3837 E: 3838  |||  DEC
条件  |||  S: 3838 E: 3840  |||  NN
下  |||  S: 3840 E: 3841  |||  LC
于  |||  S: 3841 E: 3842  |||  P
高温  |||  S: 3842 E: 3844  |||  NN
下  |||  S: 3844 E: 3845  |||  LC
固化  |||  S: 3845 E: 3847  |||  VV
模塑  |||  S: 3847 E: 3849  |||  NN
而  |||  S: 3849 E: 3850  |||  MSP
成地  |||  S: 3850 E: 3852  |||  VV
。  |||  S: 3852 E: 3853  |||  PU
一  |||  S: 3853 E: 3854  |||  CD
种  |||  S: 3854 E: 3855  |||  M
模塑  |||  S: 3855 E: 3857  |||  NN
方法  |||  S: 3857 E: 3859  |||  NN
（  |||  S: 3859 E: 3860  |||  PU
压力  |||  S: 3860 E: 3862  |||  NN
衬垫  |||  S: 3862 E: 3864  |||  NN
模塑法  |||  S: 3864 E: 3867  |||  NN
）  |||  S: 3867 E: 3868  |||  PU
，  |||  S: 3868 E: 3869  |||  PU
采用  |||  S: 3869 E: 3871  |||  VV
高度  |||  S: 3871 E: 3873  |||  NN
热  |||  S: 3873 E: 3874  |||  NN
膨胀  |||  S: 3874 E: 3876  |||  NN
的  |||  S: 3876 E: 3877  |||  DEC
硅橡胶  |||  S: 3877 E: 3880  |||  NN
作  |||  S: 3880 E: 3881  |||  VV
成型  |||  S: 3881 E: 3883  |||  JJ
衬垫  |||  S: 3883 E: 3885  |||  NN
。  |||  S: 3885 E: 3886  |||  PU
将  |||  S: 3886 E: 3887  |||  AD
未  |||  S: 3887 E: 3888  |||  AD
固化  |||  S: 3888 E: 3890  |||  VV
的  |||  S: 3890 E: 3891  |||  DEC
预  |||  S: 3891 E: 3892  |||  NN
浸料坯  |||  S: 3892 E: 3895  |||  NN
放进  |||  S: 3895 E: 3897  |||  VV
相邻  |||  S: 3897 E: 3899  |||  AD
连接  |||  S: 3899 E: 3901  |||  VV
的  |||  S: 3901 E: 3902  |||  DEC
衬垫  |||  S: 3902 E: 3904  |||  NN
之间  |||  S: 3904 E: 3906  |||  LC
的  |||  S: 3906 E: 3907  |||  DEC
空间  |||  S: 3907 E: 3909  |||  NN
里  |||  S: 3909 E: 3910  |||  LC
，  |||  S: 3910 E: 3911  |||  PU
整  |||  S: 3911 E: 3912  |||  DT
个  |||  S: 3912 E: 3913  |||  M
组合件  |||  S: 3913 E: 3916  |||  NN
被  |||  S: 3916 E: 3917  |||  SB
放进  |||  S: 3917 E: 3919  |||  VV
一  |||  S: 3919 E: 3920  |||  CD
个  |||  S: 3920 E: 3921  |||  M
紧密  |||  S: 3921 E: 3923  |||  JJ
装填  |||  S: 3923 E: 3925  |||  NN
的  |||  S: 3925 E: 3926  |||  DEC
密闭  |||  S: 3926 E: 3928  |||  JJ
金属  |||  S: 3928 E: 3930  |||  NN
容器  |||  S: 3930 E: 3932  |||  NN
之中  |||  S: 3932 E: 3934  |||  LC
。  |||  S: 3934 E: 3935  |||  PU
然后  |||  S: 3935 E: 3937  |||  AD
，  |||  S: 3937 E: 3938  |||  PU
该  |||  S: 3938 E: 3939  |||  DT
容器  |||  S: 3939 E: 3941  |||  NN
和  |||  S: 3941 E: 3942  |||  CC
包含  |||  S: 3942 E: 3944  |||  VV
的  |||  S: 3944 E: 3945  |||  DEC
组合件  |||  S: 3945 E: 3948  |||  NN
被  |||  S: 3948 E: 3949  |||  SB
加热  |||  S: 3949 E: 3951  |||  VV
升温  |||  S: 3951 E: 3953  |||  NN
，  |||  S: 3953 E: 3954  |||  PU
既  |||  S: 3954 E: 3955  |||  CC
